chr1,start,end,TE_id,UniqPathogens,TE_location,class,family,feature,chr2,gene_start,gene_end,gene_width,strand,gene_info,distance,gene_name
chr1,66439422,66439493,MIR1_Amn_c153666,5,MIR1_Amn_chr1:66439423,SINE,MIR,intergenic,chr1,65792513,66374579,582066,+,ENSG00000184588.18,64844,PDE4B
chr1,66480923,66486952,L1PA3_c153756,7,L1PA3_chr1:66480924,LINE,L1,intergenic,chr1,66533266,66751139,217873,+,ENSG00000118473.23,46315,SGIP1
chr1,78646294,78646353,MamGyp-int_c175591,6,MamGyp-int_chr1:78646295,LTR,Gypsy,intergenic,chr1,78619901,78646145,26244,+,ENSG00000137959.17,150,IFI44L
chr1,78646413,78646789,THE1C_c175592,8,THE1C_chr1:78646414,LTR,ERVL-MaLR,intergenic,chr1,78619901,78646145,26244,+,ENSG00000137959.17,269,IFI44L
chr1,78646789,78648317,THE1C-int_c175593,8,THE1C-int_chr1:78646790,LTR,ERVL-MaLR,intergenic,chr1,78619901,78646145,26244,+,ENSG00000137959.17,645,IFI44L
chr1,78648317,78648605,THE1C_c175594,8,THE1C_chr1:78648318,LTR,ERVL-MaLR,intergenic,chr1,78649830,78664073,14243,+,ENSG00000137965.11,1226,IFI44
chr1,78648618,78648863,L2a_c175595,7,L2a_chr1:78648619,LINE,L2,intergenic,chr1,78649830,78664073,14243,+,ENSG00000137965.11,968,IFI44
chr1,78648870,78648993,MIR_c175596,7,MIR_chr1:78648871,SINE,MIR,intergenic,chr1,78649830,78664073,14243,+,ENSG00000137965.11,838,IFI44
chr1,78649310,78649545,L2_c175597,7,L2_chr1:78649311,LINE,L2,intergenic,chr1,78649830,78664073,14243,+,ENSG00000137965.11,286,IFI44
chr1,78664335,78664531,MLT1K_c175621,5,MLT1K_chr1:78664336,LTR,ERVL-MaLR,intergenic,chr1,78649830,78664073,14243,+,ENSG00000137965.11,263,IFI44
chr1,78665521,78666049,MER1A_c175624,5,MER1A_chr1:78665522,DNA,hAT-Charlie,intergenic,chr1,78666271,78666695,424,+,ENSG00000238015.2,223,ENSG00000238015
chr1,78671940,78673808,L1PBb_c175628,5,L1PBb_chr1:78671941,LINE,L1,intergenic,chr1,78666271,78666695,424,+,ENSG00000238015.2,5246,ENSG00000238015
chr1,89045158,89045538,MLT1F2_c193518,5,MLT1F2_chr1:89045159,LTR,ERVL-MaLR,intergenic,chr1,89052318,89065360,13042,-,ENSG00000117228.11,6781,GBP1
chr1,89045854,89046504,L2_c193520,7,L2_chr1:89045855,LINE,L2,intergenic,chr1,89052318,89065360,13042,-,ENSG00000117228.11,5815,GBP1
chr1,89047310,89047629,AluSz_c193523,5,AluSz_chr1:89047311,SINE,Alu,intergenic,chr1,89052318,89065360,13042,-,ENSG00000117228.11,4690,GBP1
chr1,89048081,89048835,MER101-int_c193524,5,MER101-int_chr1:89048082,LTR,ERV1,intergenic,chr1,89052318,89065360,13042,-,ENSG00000117228.11,3484,GBP1
chr1,89049432,89049754,MER101_c193527,5,MER101_chr1:89049433,LTR,ERV1,intergenic,chr1,89052318,89065360,13042,-,ENSG00000117228.11,2565,GBP1
chr1,89049988,89050423,LTR45B_c193528,5,LTR45B_chr1:89049989,LTR,ERV1,intergenic,chr1,89052318,89065360,13042,-,ENSG00000117228.11,1896,GBP1
chr1,89050425,89051052,L1M2b_c193529,5,L1M2b_chr1:89050426,LINE,L1,intergenic,chr1,89052318,89065360,13042,-,ENSG00000117228.11,1267,GBP1
chr1,89052023,89052222,MER58A_c193531,9,MER58A_chr1:89052024,DNA,hAT-Charlie,intergenic,chr1,89052318,89065360,13042,-,ENSG00000117228.11,97,GBP1
chr1,89103235,89103525,AluY_c193621,5,AluY_chr1:89103236,SINE,Alu,intergenic,chr1,89104284,89104767,483,-,ENSG00000234518.2,760,PTGES3P1
chr1,89105264,89105619,LTR78_c193622,8,LTR78_chr1:89105265,LTR,ERV1,intergenic,chr1,89104284,89104767,483,-,ENSG00000234518.2,498,PTGES3P1
chr1,89126594,89126897,AluJo_c193645,6,AluJo_chr1:89126595,SINE,Alu,intergenic,chr1,89127159,89127432,273,-,ENSG00000289582.1,263,ENSG00000289582
chr1,89230928,89235459,L1PA8A_c193793,5,L1PA8A_chr1:89230929,LINE,L1,intergenic,chr1,89236842,89237612,770,+,ENSG00000289712.1,1384,ENSG00000289712
chr1,90635893,90636198,AluY_c196185,5,AluY_chr1:90635894,SINE,Alu,intergenic,chr1,90657749,90657964,215,+,ENSG00000199666.2,21552,SNORD3G
chr1,110656476,110656626,MIR3_c232237,6,MIR3_chr1:110656477,SINE,MIR,intergenic,chr1,110672464,110674940,2476,-,ENSG00000177272.10,15839,KCNA3
chr1,110657040,110657346,AluSg_c232238,5,AluSg_chr1:110657041,SINE,Alu,intergenic,chr1,110672464,110674940,2476,-,ENSG00000177272.10,15119,KCNA3
chr1,110722758,110723581,MER45B_c232339,5,MER45B_chr1:110722759,DNA,hAT-Tip100,intergenic,chr1,110680507,110682674,2167,+,ENSG00000288803.1,40085,ENSG00000288803
chr1,120349061,120350070,PRIMA4-int_c250842,5,PRIMA4-int_chr1:120349062,LTR,ERV1,intergenic,chr1,120354986,120355148,162,+,ENSG00000273727.1,4917,U1
chr1,120470475,120471231,L1MEc_c251086,5,L1MEc_chr1:120470476,LINE,L1,intergenic,chr1,120415034,120469676,54642,+,ENSG00000270231.5,800,NBPF8
chr1,120471858,120472133,AluJo_c251090,5,AluJo_chr1:120471859,SINE,Alu,intergenic,chr1,120415034,120469676,54642,+,ENSG00000270231.5,2183,NBPF8
chr1,120473638,120473765,MIR_c251093,5,MIR_chr1:120473639,SINE,MIR,intergenic,chr1,120415034,120469676,54642,+,ENSG00000270231.5,3963,NBPF8
chr1,120473827,120474127,L1ME3Cz_c251094,6,L1ME3Cz_chr1:120473828,LINE,L1,intergenic,chr1,120415034,120469676,54642,+,ENSG00000270231.5,4152,NBPF8
chr1,145281641,145281931,AluSz_c257214,6,AluSz_chr1:145281642,SINE,Alu,intergenic,chr1,145281115,145281462,347,+,ENSG00000276216.1,180,ENSG00000276216
chr1,146403973,146404986,PRIMA4-int_c259374,5,PRIMA4-int_chr1:146403974,LTR,ERV1,intergenic,chr1,146321213,146401647,80434,-,ENSG00000290578.1,2327,ENSG00000290578
chr1,148523126,148523417,AluJb_c263383,6,AluJb_chr1:148523127,SINE,Alu,intergenic,chr1,148522600,148522765,165,+,ENSG00000274210.1,362,RNVU1-27
chr1,149036870,149041138,L1P1_c264282,5,L1P1_chr1:149036871,LINE,L1,intergenic,chr1,148808139,149033019,224880,+,ENSG00000178104.22,3852,PDE4DIP
chr1,149047735,149048024,L1ME3Cz_c264291,5,L1ME3Cz_chr1:149047736,LINE,L1,intergenic,chr1,149048575,149051273,2698,+,ENSG00000254539.1,552,ENSG00000254539
chr1,149167863,149168872,PRIMA4-int_c264523,6,PRIMA4-int_chr1:149167864,LTR,ERV1,intergenic,chr1,149162782,149162944,162,-,ENSG00000201699.1,4920,RNVU1-24
chr1,155307896,155308048,AluSx_c277746,6,AluSx_chr1:155307897,SINE,Alu,intergenic,chr1,155308747,155320666,11919,+,ENSG00000160752.15,700,FDPS
chr1,155308055,155308366,AluSx3_c277747,8,AluSx3_chr1:155308056,SINE,Alu,intergenic,chr1,155308747,155320666,11919,+,ENSG00000160752.15,382,FDPS
chr1,159058717,159059052,MER61A_c285177,5,MER61A_chr1:159058718,LTR,ERV1,intergenic,chr1,159061598,159147096,85498,-,ENSG00000163568.16,2547,AIM2
chr1,159060451,159061053,L1ME1_c285183,5,L1ME1_chr1:159060452,LINE,L1,intergenic,chr1,159061598,159147096,85498,-,ENSG00000163568.16,546,AIM2
chr1,160711997,160712079,Charlie4z_c288063,5,Charlie4z_chr1:160711998,DNA,hAT-Charlie,intergenic,chr1,160678745,160711831,33086,-,ENSG00000117091.10,167,CD48
chr1,160754929,160755224,AluSz_c288152,10,AluSz_chr1:160754930,SINE,Alu,intergenic,chr1,160739056,160754821,15765,+,ENSG00000026751.17,109,SLAMF7
chr1,160755813,160756031,L1ME4a_c288156,6,L1ME4a_chr1:160755814,LINE,L1,intergenic,chr1,160739056,160754821,15765,+,ENSG00000026751.17,993,SLAMF7
chr1,160756728,160757119,L2b_c288158,7,L2b_chr1:160756729,LINE,L2,intergenic,chr1,160739056,160754821,15765,+,ENSG00000026751.17,1908,SLAMF7
chr1,160757125,160757275,L2b_c288159,6,L2b_chr1:160757126,LINE,L2,intergenic,chr1,160739056,160754821,15765,+,ENSG00000026751.17,2305,SLAMF7
chr1,160757377,160757740,L1MEg_c288160,6,L1MEg_chr1:160757378,LINE,L1,intergenic,chr1,160739056,160754821,15765,+,ENSG00000026751.17,2557,SLAMF7
chr1,167804061,167804938,L1MC1_c301789,5,L1MC1_chr1:167804062,LINE,L1,intergenic,chr1,167809385,167914215,104830,-,ENSG00000143199.18,4448,ADCY10
chr1,167805645,167807059,SVA_A_c301790,5,SVA_A_chr1:167805646,Retroposon,SVA,intergenic,chr1,167809385,167914215,104830,-,ENSG00000143199.18,2327,ADCY10
chr1,171484430,171484659,AluJr_c308533,5,AluJr_chr1:171484431,SINE,Alu,intergenic,chr1,171485529,171593511,107982,+,ENSG00000117523.18,871,PRRC2C
chr1,171484717,171484873,Tigger19a_c308534,5,Tigger19a_chr1:171484718,DNA,TcMar-Tigger,intergenic,chr1,171485529,171593511,107982,+,ENSG00000117523.18,657,PRRC2C
chr1,171484922,171485193,L2_c308535,5,L2_chr1:171484923,LINE,L2,intergenic,chr1,171485529,171593511,107982,+,ENSG00000117523.18,337,PRRC2C
chr1,182954233,182954536,AluYk11_c330235,5,AluYk11_chr1:182954234,SINE,Alu,intergenic,chr1,182955389,182956148,759,-,ENSG00000226570.2,854,ENSG00000226570
chr1,184785090,184785477,L3_c333773,5,L3_chr1:184785091,LINE,CR1,intergenic,chr1,184791031,184974508,183477,-,ENSG00000135842.17,5555,NIBAN1
chr1,206749025,206749478,L3_c373301,5,L3_chr1:206749026,LINE,CR1,intergenic,chr1,206747979,206748092,113,-,ENSG00000199349.1,934,Y_RNA
chr1,206765848,206766307,MER4A1_c373344,5,MER4A1_chr1:206765849,LTR,ERV1,intergenic,chr1,206767601,206774541,6940,-,ENSG00000136634.7,1295,IL10
chr1,209141190,209142173,LTR5_Hs_c377699,6,LTR5_Hs_chr1:209141191,LTR,ERVK,intergenic,chr1,209147267,209266758,119491,-,ENSG00000232537.2,5095,ENSG00000232537
chr1,212633013,212633662,LTR9_c384762,5,LTR9_chr1:212633014,LTR,ERV1,intergenic,chr1,212624473,212626775,2302,+,ENSG00000162771.8,6239,GARIN4
chr1,212634409,212634892,MLT1H1_c384767,5,MLT1H1_chr1:212634410,LTR,ERVL-MaLR,intergenic,chr1,212624473,212626775,2302,+,ENSG00000162771.8,7635,GARIN4
chr1,212637602,212637847,AluSp_c384771,6,AluSp_chr1:212637603,SINE,Alu,intergenic,chr1,212647295,212647755,460,+,ENSG00000226036.1,9449,ENSG00000226036
chr1,221744030,221744539,MER4E_c400866,5,MER4E_chr1:221744031,LTR,ERV1,intergenic,chr1,221701423,221742089,40666,-,ENSG00000143507.18,1942,DUSP10
chr1,227868339,227869308,LTR5_Hs_c413186,5,LTR5_Hs_chr1:227868340,LTR,ERVK,intergenic,chr1,227815674,227846470,30796,+,ENSG00000185888.6,21870,PRSS38
chr1,228707410,228712807,L1PA3_c414499,6,L1PA3_chr1:228707411,LINE,L1,intergenic,chr1,228687414,228687826,412,+,ENSG00000234975.6,19585,FTH1P2
chr1,235909171,235909547,L2b_c428553,6,L2b_chr1:235909172,LINE,L2,intergenic,chr1,235915414,235915521,107,+,ENSG00000206803.1,5868,RNU6-968P
chr1,244349982,244350317,HERV16-int_c444828,5,HERV16-int_chr1:244349983,LTR,ERVL,intergenic,chr1,244352634,244389663,37029,+,ENSG00000173728.11,2318,C1orf100
chr1,244350716,244351134,LTR7_c444831,5,LTR7_chr1:244350717,LTR,ERV1,intergenic,chr1,244352634,244389663,37029,+,ENSG00000173728.11,1501,C1orf100
chr2,6898585,6898717,MamGypLTR2b_c2329675,8,MamGypLTR2b_chr2:6898586,LTR,Gypsy,intergenic,chr2,6865556,6898239,32683,+,ENSG00000134321.13,347,RSAD2
chr2,6898825,6904509,L1PA7_c2329676,9,L1PA7_chr2:6898826,LINE,L1,intergenic,chr2,6865556,6898239,32683,+,ENSG00000134321.13,587,RSAD2
chr2,6904819,6905616,L1PA7_c2329678,7,L1PA7_chr2:6904820,LINE,L1,intergenic,chr2,6905723,6906301,578,-,ENSG00000271947.1,108,ENSG00000271947
chr2,27527089,27527761,L1MD3_c2369562,5,L1MD3_chr2:27527090,LINE,L1,intergenic,chr2,27496838,27523684,26846,+,ENSG00000084734.9,3406,GCKR
chr2,28364964,28365426,MLT1C2_c2371365,5,MLT1C2_chr2:28364965,LTR,ERVL-MaLR,intergenic,chr2,28384408,28394672,10264,-,ENSG00000229951.6,18983,FOSL2-AS1
chr2,52714256,52716221,L1PA3_c2418075,5,L1PA3_chr2:52714257,LINE,L1,intergenic,chr2,52722670,52934500,211830,-,ENSG00000228033.6,6450,ENSG00000228033
chr2,54698421,54699830,SVA_C_c2421825,7,SVA_C_chr2:54698422,Retroposon,SVA,intergenic,chr2,54723661,54972025,248364,+,ENSG00000214595.13,23832,EML6
chr2,60931833,60932000,MLT1B_c2432391,6,MLT1B_chr2:60931834,LTR,ERVL-MaLR,intergenic,chr2,60881490,60931612,50122,+,ENSG00000162924.16,222,REL
chr2,60932311,60934734,L1MA8_c2432393,6,L1MA8_chr2:60932312,LINE,L1,intergenic,chr2,60881490,60931612,50122,+,ENSG00000162924.16,700,REL
chr2,60934734,60935028,AluJb_c2432394,5,AluJb_chr2:60934735,SINE,Alu,intergenic,chr2,60936818,60938049,1231,-,ENSG00000237522.1,1791,NONOP2
chr2,60935260,60935558,AluJr_c2432396,7,AluJr_chr2:60935261,SINE,Alu,intergenic,chr2,60936818,60938049,1231,-,ENSG00000237522.1,1261,NONOP2
chr2,60935630,60935914,AluSc_c2432398,5,AluSc_chr2:60935631,SINE,Alu,intergenic,chr2,60936818,60938049,1231,-,ENSG00000237522.1,905,NONOP2
chr2,60938687,60939928,L1MC4_c2432401,8,L1MC4_chr2:60938688,LINE,L1,intergenic,chr2,60938203,60938604,401,-,ENSG00000232713.2,84,RPS12P3
chr2,60939930,60939984,L1MC4_c2432402,5,L1MC4_chr2:60939931,LINE,L1,intergenic,chr2,60940222,61018255,78033,-,ENSG00000162927.14,239,PUS10
chr2,74895598,74896294,LTR48B_c2460380,5,LTR48B_chr2:74895599,LTR,ERV1,intergenic,chr2,74834126,74893359,59233,+,ENSG00000159399.10,2240,HK2
chr2,78701866,78703692,L1PA3_c2466762,6,L1PA3_chr2:78701867,LINE,L1,intergenic,chr2,78597910,78599406,1496,+,ENSG00000234877.2,102461,ENSG00000234877
chr2,81566568,81566875,AluYb8_c2471554,5,AluYb8_chr2:81566569,SINE,Alu,intergenic,chr2,81496213,81496327,114,-,ENSG00000200890.1,70242,RNA5SP99
chr2,89965064,89965373,AluY_c2486961,5,AluY_chr2:89965065,SINE,Alu,intergenic,chr2,89968866,89969335,469,+,ENSG00000224607.4,3494,IGKV1D-27
chr2,96141854,96142268,MER1A_c2491560,5,MER1A_chr2:96141855,DNA,hAT-Charlie,intergenic,chr2,96143168,96145440,2272,-,ENSG00000158050.5,901,DUSP2
chr2,113008357,113008578,AluY_c2521899,6,AluY_chr2:113008358,SINE,Alu,intergenic,chr2,113005458,113008044,2586,+,ENSG00000136694.9,314,IL36A
chr2,113098166,113099704,L1PBa_c2522070,8,L1PBa_chr2:113098167,LINE,L1,intergenic,chr2,113086804,113086911,107,+,ENSG00000201805.1,11256,RNU6-1180P
chr2,113100588,113100726,MIR_c2522073,5,MIR_chr2:113100589,SINE,MIR,intergenic,chr2,113086804,113086911,107,+,ENSG00000201805.1,13678,RNU6-1180P
chr2,113100855,113101260,MER34B_c2522074,5,MER34B_chr2:113100856,LTR,ERV1,intergenic,chr2,113086804,113086911,107,+,ENSG00000201805.1,13945,RNU6-1180P
chr2,113101429,113101566,Charlie18a_c2522075,5,Charlie18a_chr2:113101430,DNA,hAT-Charlie,intergenic,chr2,113086804,113086911,107,+,ENSG00000201805.1,14519,RNU6-1180P
chr2,113102090,113102443,MLT1B_c2522077,5,MLT1B_chr2:113102091,LTR,ERVL-MaLR,intergenic,chr2,113086804,113086911,107,+,ENSG00000201805.1,15180,RNU6-1180P
chr2,113102527,113102959,LTR7_c2522078,5,LTR7_chr2:113102528,LTR,ERV1,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,14934,IL1RN
chr2,113103240,113103708,MLT1D_c2522080,7,MLT1D_chr2:113103241,LTR,ERVL-MaLR,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,14185,IL1RN
chr2,113104702,113104915,MIRb_c2522081,5,MIRb_chr2:113104703,SINE,MIR,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,12978,IL1RN
chr2,113104913,113105239,L2c_c2522082,6,L2c_chr2:113104914,LINE,L2,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,12654,IL1RN
chr2,113105774,113106193,L1ME4c_c2522084,5,L1ME4c_chr2:113105775,LINE,L1,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,11700,IL1RN
chr2,113106410,113106475,Charlie4z_c2522085,5,Charlie4z_chr2:113106411,DNA,hAT-Charlie,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,11418,IL1RN
chr2,113106745,113107441,L1MEd_c2522086,6,L1MEd_chr2:113106746,LINE,L1,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,10452,IL1RN
chr2,113111086,113111348,MIRc_c2522101,8,MIRc_chr2:113111087,SINE,MIR,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,6545,IL1RN
chr2,113113130,113113769,L1MA10_c2522107,9,L1MA10_chr2:113113131,LINE,L1,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,4124,IL1RN
chr2,113114175,113114517,MLT1O_c2522108,6,MLT1O_chr2:113114176,LTR,ERVL-MaLR,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,3376,IL1RN
chr2,113114720,113115039,L2b_c2522110,6,L2b_chr2:113114721,LINE,L2,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,2854,IL1RN
chr2,113115337,113115430,MamGypLTR3a_c2522111,5,MamGypLTR3a_chr2:113115338,LTR,Gypsy,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,2463,IL1RN
chr2,113116814,113117038,MIRc_c2522113,5,MIRc_chr2:113116815,SINE,MIR,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,855,IL1RN
chr2,113117253,113117626,L2a_c2522114,6,L2a_chr2:113117254,LINE,L2,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,267,IL1RN
chr2,113134203,113134614,L1ME3B_c2522154,7,L1ME3B_chr2:113134204,LINE,L1,intergenic,chr2,113117892,113134016,16124,+,ENSG00000136689.20,188,IL1RN
chr2,113505473,113505756,L1MC5_c2522844,5,L1MC5_chr2:113505474,LINE,L1,intergenic,chr2,113498664,113501150,2486,+,ENSG00000184492.7,4324,FOXD4L1
chr2,113506484,113506609,L2d2_c2522845,6,L2d2_chr2:113506485,LINE,L2,intergenic,chr2,113498664,113501150,2486,+,ENSG00000184492.7,5335,FOXD4L1
chr2,113705271,113705563,AluSc_c2523238,5,AluSc_chr2:113705272,SINE,Alu,intergenic,chr2,113706708,113756642,49934,-,ENSG00000115084.15,1146,SLC35F5
chr2,120226364,120226811,MLT1E3_c2534954,6,MLT1E3_chr2:120226365,LTR,ERVL-MaLR,intergenic,chr2,120217478,120223400,5922,-,ENSG00000226479.4,2965,TMEM185B
chr2,120229317,120229765,MER44B_c2534965,5,MER44B_chr2:120229318,DNA,TcMar-Tigger,intergenic,chr2,120217478,120223400,5922,-,ENSG00000226479.4,5918,TMEM185B
chr2,120230524,120230721,MamRep434_c2534967,6,MamRep434_chr2:120230525,DNA,TcMar-Tigger,intergenic,chr2,120217478,120223400,5922,-,ENSG00000226479.4,7125,TMEM185B
chr2,120230956,120231161,L2a_c2534968,5,L2a_chr2:120230957,LINE,L2,intergenic,chr2,120217478,120223400,5922,-,ENSG00000226479.4,7557,TMEM185B
chr2,120232020,120232143,MER5B_c2534971,7,MER5B_chr2:120232021,DNA,hAT-Charlie,intergenic,chr2,120217478,120223400,5922,-,ENSG00000226479.4,8621,TMEM185B
chr2,121163613,121163917,AluYg6_c2536804,10,AluYg6_chr2:121163614,SINE,Alu,intergenic,chr2,121178326,121182580,4254,+,ENSG00000236145.1,14410,ENSG00000236145
chr2,142828238,142831095,L1PA10_c2575266,6,L1PA10_chr2:142828239,LINE,L1,intergenic,chr2,142854094,142855998,1904,+,ENSG00000229781.1,23000,RRN3P4
chr2,142852892,142853180,AluJr_c2575313,6,AluJr_chr2:142852893,SINE,Alu,intergenic,chr2,142854094,142855998,1904,+,ENSG00000229781.1,915,RRN3P4
chr2,142865355,142865823,MLT1A1_c2575336,7,MLT1A1_chr2:142865356,LTR,ERVL-MaLR,intergenic,chr2,142854094,142855998,1904,+,ENSG00000229781.1,9358,RRN3P4
chr2,142866784,142867075,AluJb_c2575338,5,AluJb_chr2:142866785,SINE,Alu,intergenic,chr2,142877656,143055833,178177,+,ENSG00000115919.15,10582,KYNU
chr2,142868234,142869077,LTR27E_c2575342,6,LTR27E_chr2:142868235,LTR,ERV1,intergenic,chr2,142877656,143055833,178177,+,ENSG00000115919.15,8580,KYNU
chr2,142871434,142871734,AluJb_c2575347,6,AluJb_chr2:142871435,SINE,Alu,intergenic,chr2,142877656,143055833,178177,+,ENSG00000115919.15,5923,KYNU
chr2,143056307,143057822,THE1D-int_c2575665,6,THE1D-int_chr2:143056308,LTR,ERVL-MaLR,intergenic,chr2,142877656,143055833,178177,+,ENSG00000115919.15,475,KYNU
chr2,143059875,143060844,HAL1_c2575668,5,HAL1_chr2:143059876,LINE,L1,intergenic,chr2,142877656,143055833,178177,+,ENSG00000115919.15,4043,KYNU
chr2,151380466,151380905,LTR54_c2589170,7,LTR54_chr2:151380467,LTR,ERV1,intergenic,chr2,151357591,151380046,22455,+,ENSG00000123610.5,421,TNFAIP6
chr2,151381021,151381191,MER39_c2589171,6,MER39_chr2:151381022,LTR,ERV1,intergenic,chr2,151357591,151380046,22455,+,ENSG00000123610.5,976,TNFAIP6
chr2,151381191,151381502,AluJr_c2589172,5,AluJr_chr2:151381192,SINE,Alu,intergenic,chr2,151357591,151380046,22455,+,ENSG00000123610.5,1146,TNFAIP6
chr2,151381502,151381962,MER39_c2589173,5,MER39_chr2:151381503,LTR,ERV1,intergenic,chr2,151357591,151380046,22455,+,ENSG00000123610.5,1457,TNFAIP6
chr2,162266279,162266412,MLT1E1A_c2607278,5,MLT1E1A_chr2:162266280,LTR,ERVL-MaLR,intergenic,chr2,162267073,162318684,51611,-,ENSG00000115267.10,662,IFIH1
chr2,173073908,173074073,MIR3_c2626375,6,MIR3_chr2:173073909,SINE,MIR,intergenic,chr2,173075434,173268015,192581,+,ENSG00000091436.17,1362,MAP3K20
chr2,173074332,173074496,L2_c2626376,5,L2_chr2:173074333,LINE,L2,intergenic,chr2,173075434,173268015,192581,+,ENSG00000091436.17,939,MAP3K20
chr2,173074674,173074966,AluJr_c2626378,6,AluJr_chr2:173074675,SINE,Alu,intergenic,chr2,173075434,173268015,192581,+,ENSG00000091436.17,469,MAP3K20
chr2,182874226,182875666,L1PA4_c2642606,5,L1PA4_chr2:182874227,LINE,L1,intergenic,chr2,182873840,182873947,107,+,ENSG00000207178.1,280,RNU6-1122P
