"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","64/1035","204/9434",1.3067971768427e-15,3.94415147919797e-14,2.68862577053761e-14,"RUNX3/VIM/FAS/CD44/MAP2K3/TAB2/EIF2AK2/NFKB2/OAS1/ICAM1/GADD45B/NFKBIA/CD40/TRADD/NFKBIB/RELB/JAK3/RIGI/NFKB1/MAPK10/OAS3/OAS2/HES1/STAT1/GADD45A/CD58/AKT3/TNFAIP3/CDKN1A/TRAF2/GADD45G/CCNA1/IL6/MYC/RIPK1/TLR2/IFNAR1/NFKBIE/BCL2L11/JAK1/CASP3/B2M/TAP1/STAT3/CXCL10/STAT2/BCL2/IFNB1/MYD88/RELA/JUN/MAPK11/IRF7/ISG15/TAP2/HLA-E/HLA-F/HLA-A/IRF9/TAPBP/TNF/HLA-DOB/LYN/IKBKE",64
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","43/1035","109/9434",8.0051386826368e-15,2.21475503552951e-13,1.5097410673394e-13,"MAP2K3/TAB2/NFKBIA/CD40/TLR8/MAP3K8/NFKB1/MAPK10/IL12B/STAT1/AKT3/CD80/IL1B/TICAM1/LBP/IL6/RIPK1/TLR2/CXCL9/IFNAR1/JAK1/TLR3/IL12A/CXCL10/CXCL11/CXCL8/STAT2/IFNB1/MYD88/RELA/JUN/MAPK11/IRF7/TLR7/IRF9/TNF/TICAM2/IKBKE/CCL5/CCL4/CCL4L2/CCL3L1/CCL3",43
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","54/1035","173/9434",2.9230360782635e-13,7.46498444602679e-12,5.08868629009436e-12,"FAS/EIF2AK2/OAS1/ICAM1/JAK2/NFKBIA/DNAJC3/TRADD/TNFRSF10A/NFKBIB/RIGI/CCL2/NFKB1/OAS3/OAS2/IFNG/IL12B/IL1A/IFIH1/STAT1/AKT3/TRIM25/TNFSF10/IL1B/TICAM1/RSAD2/IL6/CASP1/PML/IFNAR1/IL18/MX1/IFNGR2/ADAR/JAK1/NLRP3/CASP3/TLR3/IL12A/CXCL10/CXCL8/STAT2/IFNB1/MYD88/RELA/MX2/SOCS3/IRF7/TLR7/IRF9/TNF/HLA-DOB/IKBKE/CCL5",54
"Human Diseases","Infectious disease: viral","hsa05162","Measles","47/1035","139/9434",3.99062408634964e-13,9.46347997620058e-12,6.45100886139228e-12,"FAS/TAB2/EIF2AK2/OAS1/NFKBIA/TRADD/NFKBIB/JAK3/RIGI/NFKB1/MAPK10/OAS3/OAS2/IL12B/IL1A/IFIH1/STAT1/AKT3/SLAMF1/TNFAIP3/IL1B/STAT5A/IL2RA/IL6/TLR2/IFNAR1/MX1/ADAR/JAK1/CASP3/STAT3/IL12A/STAT2/BCL2L1/BCL2/IFNB1/MYD88/RELA/HSPA6/JUN/MX2/IRF7/TLR7/HSPA1B/HSPA1A/IRF9/IKBKE",47
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","57/1035","193/9434",8.58703575541095e-13,1.90059724719762e-11,1.29558785081639e-11,"BCAR1/CXCL2/JAK2/NFKBIA/PLCB4/HCK/CCL22/CCL17/NFKBIB/JAK3/CCL7/CCL2/CCL8/CCL1/NFKB1/GNB4/CCL20/STAT1/AKT3/FOXO3/CXCL6/CCR7/RAP1B/GNGT1/CXCL9/PIK3R5/VAV1/CXCL13/NCF1/VAV2/CXCR5/CCR5/ADCY9/CXCL3/CXCL5/CXCL1/CCR1/GNG4/STAT3/CXCL10/CXCL11/CXCL8/STAT2/CCL19/RELA/CCL13/SRC/LYN/CCL5/CCL23/CCL4/CCL18/CCL15/CCL4L2/CCL3L1/CCL14/CCL3",57
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","57/1035","196/9434",1.74675382946292e-12,3.62451419613557e-11,2.47073732456927e-11,"FAS/EIF2AK2/PTGS2/CXCL2/ICAM1/ITPR3/JAK2/PDGFB/NFKBIA/HCK/MAP1LC3A/TRADD/NFKB1/MAPK10/VEGFA/GNB4/STAT1/AKT3/PPP3CC/CDKN1A/C3/TRAF2/TICAM1/GNGT1/ZFP36/IL6/MYC/PIK3R5/IFNAR1/TCF7L2/RCAN1/CCR5/JAK1/CXCL3/CXCL1/CCR1/CASP3/TLR3/CSF2/GNG4/STAT3/CXCL8/STAT2/IFNB1/RELA/JUN/MAPK11/IRF7/SRC/CALM1/MICB/HLA-E/HLA-F/HLA-A/IRF9/LYN/IKBKE",57
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","32/1035","78/9434",6.50068499119419e-12,1.26954553945675e-10,8.65416268177554e-11,"NOD1/NFKB1/MAPK10/IL23A/IL12B/IL1A/CXCL6/IRF1/IL1B/C3/TICAM1/IL6/IL10/CASP1/IRF8/SERPING1/C1R/NLRP3/CXCL5/CASP3/CASP7/IL12A/CXCL8/MYD88/RELA/JUN/C1S/MAPK11/CALM1/C4B/TNF/TICAM2",32
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","38/1035","105/9434",6.9066214225489e-12,1.27388795127013e-10,8.68376377688896e-11,"BCL3/PTGS2/NFKB2/CYLD/ITPR3/NFKBIA/CCL22/CCL17/RELB/NFKB1/MAPK10/IL23A/IL12B/STAT1/AKT3/PPP3CC/EGR2/IRF1/IL1B/RRAS2/IL6/IL10/CASP1/MRAS/NLRP3/CLEC4E/IL12A/STAT2/RELA/PLK3/JUN/MAPK11/SRC/CALM1/CLEC6A/IRF9/TNF/IKBKE",38
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","45/1035","143/9434",2.11911825064124e-11,3.7028803116468e-10,2.52415747306297e-10,"GAB2/LCP2/TAB2/FOSL2/NFKB2/CYLD/ITPR3/NFKBIA/RELB/LILRB1/LILRA1/NFKB1/MAPK10/IFNG/IL1A/STAT1/IL1R1/NCF2/AKT3/PPP3CC/IL1B/FOSB/TRAF2/LILRB2/IFNAR1/NCF1/IFNGR2/SQSTM1/JAK1/TNFRSF11B/STAT2/JUNB/IFNB1/RELA/FOSL1/JUN/CSF1/SOCS3/SOCS1/MAPK11/LILRB4/LILRA5/IRF9/TNF/ITGB3",45
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","47/1035","159/9434",8.67087160319364e-11,1.43936468613014e-09,9.81177576150859e-10,"CFLAR/BIRC3/FAS/EIF2AK2/CAMK2A/CYLD/CHMP5/JAK2/XIAP/TRADD/TNFRSF10A/PLA2G4C/JAK3/MAPK10/BIRC2/IFNG/IL1A/STAT1/PLA2G4A/TNFAIP3/TNFSF10/ZBP1/IL1B/RBCK1/STAT5A/TRAF2/TICAM1/RIPK1/CASP1/STAT4/IFNAR1/IFNGR2/SQSTM1/JAK1/NLRP3/TLR3/FTH1/MLKL/STAT3/STAT2/BCL2/IFNB1/IRF9/TNF/TICAM2/H2AC18/H2AC19",47
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","25/1035","56/9434",1.49459357318773e-10,2.36288126808726e-09,1.61071487837274e-09,"NFKB2/CXCL2/BCL2L13/NFKBIA/NFKB1/IL12B/IL1B/C3/IL6/TLR2/CASP1/IL18/CXCL3/CXCL1/CASP3/CASP7/IL12A/CXCL8/MYD88/RELA/HSPA6/CR1L/HSPA1B/HSPA1A/TNF",25
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","28/1035","72/9434",6.02486461830424e-10,9.09206842398639e-09,6.19782723892541e-09,"CASP10/CYLD/NFKBIA/TRADD/NFKBIB/RIGI/DHX58/NFKB1/MAPK10/IL12B/IFIH1/TRIM25/ZNFX1/TRAF2/TANK/RIPK1/ADAR/AZI2/IL12A/CXCL10/CXCL8/IFNB1/RELA/MAPK11/IRF7/ISG15/TNF/IKBKE",28
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","57/1035","226/9434",8.34525810624787e-10,1.20461986577143e-08,8.21158120294413e-09,"FAS/BCAR1/PTGS2/ITPR3/NFKBIA/PLCB4/TRADD/CCL2/NFKB1/IL10RA/VEGFA/GNB4/IL1R1/AKT3/PPP3CC/CDKN1A/PTGER2/IL1B/ELK1/TRAF2/GNGT1/ARHGEF11/PDGFRA/IL6/MYC/RIPK1/ITGAV/CDKN2A/CCR5/ADCY9/JAK1/CCR1/CASP3/CGAS/B2M/GNG4/TAP1/STAT3/CXCL8/PTGER4/IFNB1/RELA/MAPK11/SRC/CALM1/TAP2/HLA-E/HLA-F/HLA-A/TAPBP/TNF/ITGB3/CCL5/CCL4/CCL4L2/CCL3L1/CCL3",57
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","30/1035","83/9434",1.18617457261834e-09,1.64087482545538e-08,1.11854181189888e-08,"NFKBIA/MEFV/GSDMD/NFKBIB/GSDME/RIGI/NFKB1/ZBP1/IL1B/IL6/RIPK1/CASP1/IL18/ADAR/NLRP3/IFI16/AIM2/CASP3/CGAS/CASP7/MLKL/CXCL10/IFNB1/RELA/IRF7/TREX1/IKBKE/CCL5/CCL4/CCL4L2",30
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","26/1035","66/9434",1.78510398264432e-09,2.37061808895165e-08,1.61598886849906e-08,"RORA/TBX21/IL4R/IL12RB2/IL21R/NFKB1/IL23A/IFNG/IL12B/IL1A/STAT1/IL18R1/IL1B/IL6/IL10/TLR2/STAT4/IL18/IFNGR2/NOD2/STAT3/IL12A/RELA/JUN/TNF/HLA-DOB",26
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","32/1035","95/9434",2.57860217934989e-09,3.29267662901602e-08,2.24453226137744e-08,"CXCL2/ICAM1/TNFSF13B/FLT1/CCL2/IL23A/IFNG/VEGFA/IL1A/CCL20/CD80/CXCL6/IL1B/CTSL/IL6/TLR2/MMP3/IL18/CXCL3/CXCL5/CXCL1/IL15/CSF2/CXCL8/JUN/CSF1/MMP1/TNF/HLA-DOB/CCL5/CCL3L1/CCL3",32
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","68/1035","300/9434",2.68179228280285e-09,3.29761125144647e-08,2.24789606550726e-08,"FAS/MAP2K3/KITLG/TAB2/NGFR/MAP4K4/NFKB2/GADD45B/PDGFB/FLT1/TRADD/STK3/RELB/PLA2G4C/MET/MAP3K8/NFKB1/AREG/MAPK10/RAPGEF2/DUSP16/VEGFA/IL1A/IL1R1/PLA2G4A/GADD45A/AKT3/DUSP1/DUSP4/PPP3CC/NR4A1/EREG/IL1B/ELK1/TRAF2/RAP1B/GADD45G/RRAS2/PDGFRA/MYC/DUSP5/EGF/CACNA1A/DUSP10/RASA2/DUSP2/MRAS/TGFA/CASP3/IGF2/GDNF/EFNA1/RASGRP1/MYD88/RELA/HSPA6/RPS6KA3/JUN/EFNA5/CSF1/DUSP8/MAPK11/IL1RAP/MAP3K5/PDGFA/HSPA1B/HSPA1A/TNF",68
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","40/1035","137/9434",3.31074760083967e-09,3.92560072670989e-08,2.6759802036862e-08,"CASP10/CFLAR/BIRC3/FAS/TRAF1/ITPR3/GADD45B/CSF2RB/GZMB/NFKBIA/XIAP/TRADD/TNFRSF10A/NFKB1/MAPK10/BIRC2/LMNB1/GADD45A/AKT3/TNFSF10/TRAF2/GADD45G/CTSL/DAB2IP/RIPK1/BCL2A1/PMAIP1/MCL1/BCL2L11/CASP3/CASP7/BCL2L1/BCL2/RELA/JUN/ERN1/PRF1/IL3RA/MAP3K5/TNF",40
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","28/1035","79/9434",7.04512974803867e-09,8.06545888396151e-08,5.49801414093762e-08,"TAB2/PTGS2/JAK2/NFKBIA/NFKBIB/NFKB1/IFNG/IL12B/IL1A/STAT1/NCF2/IL1B/C3/ELK1/IL10/TLR2/NCF1/IFNGR2/JAK1/IL12A/MYD88/RELA/MARCKSL1/JUN/MAPK11/CR1L/TNF/HLA-DOB",28
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","40/1035","142/9434",1.03175728766602e-08,1.1418113983504e-07,7.7834321701121e-08,"EDN1/ICAM1/HMOX1/PDGFB/MMP9/PLAT/CAV1/CCL2/NFKB1/MAPK10/IFNG/VEGFA/IL1A/IL1R1/NFE2L2/ARHGEF2/NCF2/AKT3/DUSP1/SDC4/IL1B/ASS1/CTSL/TXN/ITGAV/NCF1/SQSTM1/HSP90B1/BCL2/RELA/JUN/SUMO4/MAPK11/SRC/MAP3K5/PDGFA/CALM1/BMPR2/TNF/ITGB3",40
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","30/1035","93/9434",2.52480102587592e-08,2.61948106434627e-07,1.78563230448461e-07,"RUNX3/TBX21/IL4R/IL12RB2/JAK2/NFKBIA/JAG1/NFKBIB/JAK3/NFKB1/MAPK10/IFNG/IL12B/STAT1/PPP3CC/STAT5A/DLL4/IL2RA/STAT4/NFKBIE/NOTCH1/IFNGR2/JAK1/IL12A/RELA/JUN/MAML2/MAPK11/DLL1/HLA-DOB",30
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","30/1035","93/9434",2.52480102587592e-08,2.61948106434627e-07,1.78563230448461e-07,"BIRC3/LAMA3/TRAF1/LAMC2/PTGS2/TRAF4/LAMB1/GADD45B/NFKBIA/XIAP/NFKB1/BIRC2/GADD45A/ZBTB17/AKT3/CDKN1A/TRAF2/GADD45G/LAMA5/COL4A2/MYC/ITGAV/CDKN2B/ITGA2/CASP3/BCL2L1/BCL2/RELA/LAMA2/LAMB3",30
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","33/1035","109/9434",2.9645188564095e-08,2.98248563735743e-07,2.03308310726648e-07,"RORA/TBX21/IL4R/JAK2/NFKBIA/IL21R/NFKBIB/EBI3/JAK3/AHR/NFKB1/MAPK10/IL23A/IFNG/STAT1/IL1R1/PPP3CC/IL1B/STAT5A/IL2RA/IL6/IRF4/NFKBIE/IFNGR2/RUNX1/JAK1/STAT3/RELA/JUN/MAPK11/IL1RAP/IL27/HLA-DOB",33
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","42/1035","163/9434",7.46621614666483e-08,7.29054047262565e-07,4.96977235768711e-07,"CASP10/FAS/MAP2K3/TAB2/JAK2/NFKBIA/MMP9/JAK3/RIGI/NFKB1/MAPK10/IFIH1/STAT1/AKT3/EGR2/CDKN1A/STAT5A/ELK1/TICAM1/CCNA1/IL6/MYC/TLR2/STAT4/IFNAR1/JAK1/CASP3/TLR3/STAT3/CXCL8/STAT2/BCL2/IFNB1/MYD88/RELA/JUN/MAPK11/IRF7/SRC/TNF/TICAM2/IKBKE",42
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","41/1035","159/9434",1.04338344506181e-07,9.89723725030059e-07,6.74668994551245e-07,"CFLAR/FAS/EIF2AK2/OAS1/NFKBIA/TRADD/RIGI/NFKB1/OAS3/OAS2/IFNG/STAT1/AKT3/CDKN1A/TRAF2/TICAM1/LDLR/RSAD2/MYC/RIPK1/EGF/IFNAR1/MX1/CLDN14/JAK1/CASP3/TLR3/STAT3/CXCL10/STAT2/IFNB1/RELA/MX2/SOCS3/IRF7/IFIT1/IFIT1B/IRF9/PPP2R2A/TNF/IKBKE",41
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","48/1035","201/9434",1.14653107742051e-07,1.04197242167082e-06,7.10285575964576e-07,"ETV7/BIRC3/TRAF1/CDK14/NGFR/GADD45B/GZMB/MMP9/CD40/FLT1/PLAT/DOT1L/MET/NFKB1/BIRC2/BCL6/ID2/GADD45A/ZBTB17/NR4A3/PLAU/CDKN1A/RUNX2/SIX1/GADD45G/H3-3B/CCNA1/IL6/MYC/BCL2A1/PML/NFKBIZ/IGFBP3/KDM6A/HMGA2/MMP3/ERG/RUNX1/REL/CSF2/CXCL8/BCL2L1/CEBPB/ARNT2/RELA/NUPR1/PAX5/PDGFA",48
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","54/1035","238/9434",1.16123432535604e-07,1.04197242167082e-06,7.10285575964576e-07,"TAB2/EIF2AK2/OAS1/NFKBIA/TLR8/NFKBIB/RIGI/CSF3/CCL2/NFKB1/MAPK10/OAS3/OAS2/HBEGF/IL12B/IFIH1/STAT1/IL1B/C3/MAS1/IL6/TLR2/CASP1/IFNAR1/MMP3/ADAM17/MX1/C1R/ADAR/JAK1/NLRP3/TLR3/CSF2/CGAS/STAT3/IL12A/CXCL10/CXCL8/STAT2/IFNB1/MYD88/RELA/JUN/C1S/MX2/MAPK11/ISG15/MMP1/TLR7/IRF9/C4B/TNF/CFB/IKBKE",54
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","73/1035","362/9434",1.27709121291771e-07,1.11577442812811e-06,7.60594489687834e-07,"IBSP/PHLPP2/TNC/KITLG/LAMA3/LAMC2/NGFR/IL4R/LAMB1/JAK2/OSM/PDGFB/FLT1/IL7/JAK3/ITGB8/MET/CSF3/VTN/NFKB1/AREG/VEGFA/PRLR/GNB4/AKT3/MYB/SGK1/FOXO3/NR4A1/CDKN1A/EREG/GNGT1/LAMA5/IL2RA/PDGFRA/COL4A2/IL6/MYC/TLR2/THBS1/ITGAV/EGF/PIK3R5/IFNAR1/ITGA10/MCL1/OSMR/BCL2L11/PIK3AP1/JAK1/TGFA/ITGA2/HSP90B1/IGF2/DDIT4/GNG4/GDNF/IL7R/EFNA1/BCL2L1/BCL2/IFNB1/RELA/EFNA5/CSF1/IL3RA/LAMA2/LAMB3/PDGFA/LPAR1/ITGA1/PPP2R2A/ITGB3",73
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","30/1035","103/9434",3.23125617088073e-07,2.75071038136513e-06,1.87508792642201e-06,"CFLAR/FAS/NFKBIA/PLCB4/SERPINE1/CCL2/NFKB1/MAPK10/IFNG/IL12B/AKT3/IL1B/C3/TICAM1/IL6/IL10/TLR2/IFNGR2/IL12A/CXCL8/IFNB1/MYD88/RELA/JUN/MAPK11/PPP2R2A/TNF/CCL5/CCL3L1/CCL3",30
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","43/1035","182/9434",7.15984759678055e-07,5.94267350532786e-06,4.05096640344163e-06,"CASP10/CAMK2A/JAK2/TRADD/RIPK2/NFKB1/MAPK10/IL10RA/IL23A/CYP27B1/IFNG/IL12B/IL1A/STAT1/AKT3/PPP3CC/IL1B/C3/LBP/IRAK2/IL6/IL10/TLR2/IL18/IFNGR2/JAK1/CASP3/CLEC4E/NOD2/IL12A/BCL2/IFNB1/CEBPB/MYD88/RELA/PLK3/SPHK1/MAPK11/SRC/CR1L/CALM1/TNF/HLA-DOB",43
