Dataset,Sample_Name,Infection_State,Time_Point
Fungi_Af_6,Fungi_Af_6_Pre_SRR2932929,Pre,0h
Fungi_Af_6,Fungi_Af_6_Pre_SRR2932930,Pre,0h
Fungi_Af_6,Fungi_Af_6_Pre_SRR2932931,Pre,0h
Fungi_Af_6,Fungi_Af_6_Pre_SRR2932932,Pre,0h
Fungi_Af_6,Fungi_Af_6_Pre_SRR2932933,Pre,0h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932940,Post,1h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932941,Post,1h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932942,Post,1h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932943,Post,1h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932944,Post,1h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932945,Post,1h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932952,Post,6h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932953,Post,6h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932954,Post,6h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932955,Post,6h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932956,Post,6h
Fungi_Af_6,Fungi_Af_6_Post_SRR2932957,Post,6h
Virus_IAV_11,Virus_IAV_11_Pre_GSM4230516,Pre,0h
Virus_IAV_11,Virus_IAV_11_Pre_GSM4230517,Pre,0h
Virus_IAV_11,Virus_IAV_11_Pre_GSM4230518,Pre,0h
Virus_IAV_11,Virus_IAV_11_Post_GSM4230519,Post,6h
Virus_IAV_11,Virus_IAV_11_Post_GSM4230520,Post,6h
Virus_IAV_11,Virus_IAV_11_Post_GSM4230521,Post,6h
Virus_IAV_11,Virus_IAV_11_Post_GSM4230522,Post,12h
Virus_IAV_11,Virus_IAV_11_Post_GSM4230523,Post,12h
Virus_IAV_11,Virus_IAV_11_Post_GSM4230524,Post,12h
Virus_RSV_1,Virus_RSV_1_Pre_SRR12329663,Pre,0d
Virus_RSV_1,Virus_RSV_1_Pre_SRR12329664,Pre,0d
Virus_RSV_1,Virus_RSV_1_Post_SRR12329665,Post,1d
Virus_RSV_1,Virus_RSV_1_Post_SRR12329666,Post,1d
Virus_RSV_1,Virus_RSV_1_Post_SRR12329667,Post,2d
Virus_RSV_1,Virus_RSV_1_Post_SRR12329668,Post,2d
Virus_HCV_1,Virus_HCV_1_Post_73di1,Post,3d
Virus_HCV_1,Virus_HCV_1_Post_73di2,Post,3d
Virus_HCV_1,Virus_HCV_1_Post_73di3,Post,3d
Virus_HCV_1,Virus_HCV_1_Pre_73dm1,Pre,3d
Virus_HCV_1,Virus_HCV_1_Pre_73dm2,Pre,3d
Virus_HCV_1,Virus_HCV_1_Pre_73dm3,Pre,3d
Virus_HCV_1,Virus_HCV_1_Post_75di1,Post,5d
Virus_HCV_1,Virus_HCV_1_Post_75di2,Post,5d
Virus_HCV_1,Virus_HCV_1_Post_75di3,Post,5d
