GeneName,GeneID,A549_Bacteria_Spn,A549_Virus_IAV,A549_Virus_RSV,A549_Virus_SARSCoV2,B_cell_Protozoa_Pf,B_cell_Virus_EBV,B_cell_Virus_HBV,Dendritic_Bacteria_Bpe,Dendritic_Bacteria_MTB,Dendritic_Bacteria_Sau,Dendritic_Protozoa_Pf,Dendritic_Virus_HBV,Liver_Virus_HBV,Macrophages_Bacteria_Lmo,Macrophages_Bacteria_MTB,Macrophages_Bacteria_NTHi,Macrophages_Bacteria_SalEn,Macrophages_Bacteria_SalTy,Macrophages_Fungi_Af,Macrophages_Virus_IAV,Macrophages_Virus_SARSCoV2,Monocyte_Bacteria_Lmo,Monocyte_Virus_RSV,PBMCs_Fungi_Af,PBMCs_Protozoa_Pf,T_cell_Virus_HBV,T_cell_Virus_HIV1,hSAEC_Virus_RSV,Huh.7_Virus_HCV
ENSG00000236106,ENSG00000236106.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SCN1A-AS1,ENSG00000236107.10,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,Up,/,/,/,/,/,/,/,/,/,Down,/
ENSG00000236108,ENSG00000236108.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236109,ENSG00000236109.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
OR2AM1P,ENSG00000236110.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RPL6P1,ENSG00000236111.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236114,ENSG00000236114.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236115,ENSG00000236115.1,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236116,ENSG00000236116.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,Up,/,/,/,/,/,/,/
LINC01639,ENSG00000236117.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236118,ENSG00000236118.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236119,ENSG00000236119.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236120,ENSG00000236120.7,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up,/,/,/,/,Down,Up,Down,/,/,/,/,Up,/
HAUS6P2,ENSG00000236121.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CEACAMP11,ENSG00000236123.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
HMGN2P23,ENSG00000236124.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,Up,Up,/,/,/,/,Up,/
USP17L4,ENSG00000236125.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CT47A3,ENSG00000236126.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236129,ENSG00000236129.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PTCSC2,ENSG00000236130.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MED13P1,ENSG00000236131.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236132,ENSG00000236132.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LINC01069,ENSG00000236133.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ADORA2BP1,ENSG00000236136.1,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,Up,/,Up,/,/,Up,/,/,/,/,/,/,/,/
CD101-AS1,ENSG00000236137.1,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,Down,/,/,/,/,Down,Down,Down,Down,/,/,/,Down,/
DUX4L26,ENSG00000236138.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236140,ENSG00000236140.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236141,ENSG00000236141.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TMEM147-AS1,ENSG00000236144.9,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,Down,/,/,Down,/,/,/,/,/,/,Down,/
ENSG00000236145,ENSG00000236145.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236146,ENSG00000236146.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RPL23AP37,ENSG00000236148.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236151,ENSG00000236151.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MRPS36P1,ENSG00000236152.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
UBE2E3-DT,ENSG00000236153.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236154,ENSG00000236154.3,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,/,/,/,/,/,/
ZPLD2P,ENSG00000236155.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/
CHCHD4P3,ENSG00000236156.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/
RFC3P1,ENSG00000236158.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236159,ENSG00000236159.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236160,ENSG00000236160.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236162,ENSG00000236162.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236164,ENSG00000236164.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
PRADC1P1,ENSG00000236165.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
GAPDHP57,ENSG00000236167.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236168,ENSG00000236168.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
IGHD1-1,ENSG00000236170.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RPL12P26,ENSG00000236171.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR7515HG,ENSG00000236172.7,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236173,ENSG00000236173.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down
SSU72P6,ENSG00000236175.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LINC00353,ENSG00000236176.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PRAMEF35P,ENSG00000236179.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236180,ENSG00000236180.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236182,ENSG00000236182.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,Up,/,/,/,/,/,/,/
TCEA1P4,ENSG00000236184.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
HNRNPDLP3,ENSG00000236185.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
GJA6P,ENSG00000236187.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PRKX-AS1,ENSG00000236188.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
RPL18AP15,ENSG00000236189.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236190,ENSG00000236190.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RPS15AP25,ENSG00000236191.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LINC01953,ENSG00000236193.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236194,ENSG00000236194.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,Up,/,/,/,/,/,/,Down
MRM3P2,ENSG00000236195.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PPP1R9A-AS1,ENSG00000236197.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SMARCA2-AS1,ENSG00000236199.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,Down,/,/,/,/,/,/,/
KDM4A-AS1,ENSG00000236200.7,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
GRM7-AS1,ENSG00000236202.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LINC01376,ENSG00000236204.7,Down,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Up
ENSG00000236205,ENSG00000236205.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236206,ENSG00000236206.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
C10orf71-AS1,ENSG00000236208.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236209,ENSG00000236209.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MTCO1P7,ENSG00000236211.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236212,ENSG00000236212.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down
ENSG00000236213,ENSG00000236213.4,/,/,/,/,/,/,/,/,/,Down,Up,/,/,/,/,Up,/,Up,/,/,Down,Up,/,/,/,/,/,/,/
PPP1R11P1,ENSG00000236216.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
C1DP2,ENSG00000236217.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236226,ENSG00000236226.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
VEZF1P1,ENSG00000236229.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236230,ENSG00000236230.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236231,ENSG00000236231.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MTCYBP24,ENSG00000236232.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236234,ENSG00000236234.1,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
ENSG00000236235,ENSG00000236235.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236238,ENSG00000236238.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
GPC5-IT1,ENSG00000236240.1,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236241,ENSG00000236241.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MYO16-AS1,ENSG00000236242.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RPL6P29,ENSG00000236243.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SLC35F3-AS1,ENSG00000236244.1,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236246,ENSG00000236246.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236248,ENSG00000236248.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236252,ENSG00000236252.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SLC25A3P1,ENSG00000236253.7,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MTND4P14,ENSG00000236254.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,Up,/
ENSG00000236255,ENSG00000236255.2,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
DIAPH2-AS1,ENSG00000236256.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,Up,Up
EI24P2,ENSG00000236257.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TIMM8BP1,ENSG00000236258.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PPIAP64,ENSG00000236259.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236261,ENSG00000236261.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SHANK2-AS2,ENSG00000236262.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236263,ENSG00000236263.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,/,/
RPL26P30,ENSG00000236264.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236266,ENSG00000236266.1,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,Down,/,/,Down,/,/,/,/,/,/,/,/
ENSG00000236267,ENSG00000236267.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LINC01361,ENSG00000236268.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SCUBE1-AS2,ENSG00000236272.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236274,ENSG00000236274.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down
NDP-AS1,ENSG00000236276.2,/,/,/,/,/,/,/,/,Up,Up,/,/,/,Up,/,Up,Up,Up,/,/,Up,/,/,/,/,/,/,/,/
NIPA2P5,ENSG00000236277.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PEBP1P3,ENSG00000236278.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/
CLEC2L,ENSG00000236279.7,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
NDUFB9P2,ENSG00000236281.1,/,/,Up,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236283,ENSG00000236283.5,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,Up,Down
VN1R31P,ENSG00000236284.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
NPM1P8,ENSG00000236285.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ZBED5,ENSG00000236287.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,/,/,/,/,/,/
GACAT3,ENSG00000236289.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down
EEF1GP7,ENSG00000236290.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
USH2A-AS1,ENSG00000236292.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236295,ENSG00000236295.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
GUSBP5,ENSG00000236296.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Up
EEF1A1P23,ENSG00000236297.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/
ENSG00000236299,ENSG00000236299.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MTND4LP12,ENSG00000236300.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
MRGPRG-AS1,ENSG00000236301.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LINC02646,ENSG00000236303.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236304,ENSG00000236304.3,/,/,/,/,/,/,/,Up,Up,Up,Up,/,/,Up,/,Up,/,Up,/,/,Up,/,/,/,/,/,/,/,/
SLC12A9-AS1,ENSG00000236305.3,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
LINC01241,ENSG00000236306.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
EEF1E1P1,ENSG00000236307.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,Down,/
ENSG00000236308,ENSG00000236308.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TLX1NB,ENSG00000236311.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RPL34P34,ENSG00000236312.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
VN1R53P,ENSG00000236313.1,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
OR7E109P,ENSG00000236316.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236317,ENSG00000236317.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LINC02888,ENSG00000236318.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236319,ENSG00000236319.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SLFN14,ENSG00000236320.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,/,/
BMP6P1,ENSG00000236323.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SNX9-AS1,ENSG00000236324.1,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
RPL32P5,ENSG00000236325.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236326,ENSG00000236326.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,Down,/
ENSG00000236327,ENSG00000236327.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RPL5P9,ENSG00000236330.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236332,ENSG00000236332.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TRHDE-AS1,ENSG00000236333.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PPIAL4G,ENSG00000236334.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236335,ENSG00000236335.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CDYL-AS1,ENSG00000236336.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,Up,/,/,/,/,/,/,/,/
FMR1-IT1,ENSG00000236337.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,Up,/,/,/,/,/,Down
POM121L13P,ENSG00000236339.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
GRM8-AS1,ENSG00000236340.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236341,ENSG00000236341.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
EI24P4,ENSG00000236343.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SCAT8,ENSG00000236345.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,Up,/,/,/,/,/,/,Up
ENSG00000236347,ENSG00000236347.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
PSMC1P10,ENSG00000236348.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SUCLG2P2,ENSG00000236349.1,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236352,ENSG00000236352.1,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Up,Down,Up,/,/,/,/,/
LINC00437,ENSG00000236354.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
DNAH8-DT,ENSG00000236355.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236356,ENSG00000236356.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
EI24P1,ENSG00000236357.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236358,ENSG00000236358.1,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
OR51B8P,ENSG00000236359.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RRAS2P1,ENSG00000236360.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/
GAGE12F,ENSG00000236362.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000236364,ENSG00000236364.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/
